,Lender,LoanAmount,Loans
407,Dacotah Bank,31700.0,1
408,"Dakota Community Bank & Trust, National Association",19950.0,2
409,Dakota Western Bank,111750.0,1
410,"Dallas Capital Bank, National Association",54134.081300813006,123
411,De Witt Bank & Trust Co.,14000.0,2
412,Del Norte Bank,48965.65625,32
413,Delta Bank,11750.0,1
414,Delta Community CU,20428.571428571428,7
415,Deseret First FCU,43750.0,2
416,Desert Financial FCU d/b/a Desert Financial CU,8881.25,2
417,Devon Bank,34141.0,1
418,Diamond Bank,34268.506923076915,26
419,Digital FCU,46400.0,2
420,Dogwood State Bank,39000.0,1
421,"Dollar Bank, A Federal Savings Bank",10300.0,1
422,Dominion Bank,42629.896229508195,244
423,DuGood Federal Credit Union,22621.19951219511,41
424,Dundee Bank,82333.33333333333,3
425,Dupaco Community CU,2450.0,2
426,EECU,23748.37388329979,497
427,EH National Bank,26200.0,2
428,ELCA FCU,27382.34571428571,7
429,Eagle Bank,43145.25,2
430,EagleBank,14375.0,1
431,East West Bank,37174.9283778234,487
432,Eastern Bank,26262.0,1
433,Eastman CU,9566.237058823532,17
434,Educators CU,9044.443333333335,3
435,El Paso Area Teachers FCU,12044.666666666666,6
436,Embassy National Bank,37750.0,1
437,Embers CU,5207.0,1
438,Emigrant Bank,71183.5,2
439,Empire Financial FCU,127955.0,1
440,Endeavor Bank,135100.0,1
441,Ennis State Bank,46119.52723214286,224
442,Enterprise Bank,12400.0,1
443,Enterprise Bank & Trust,72172.22222222222,18
444,Equitable Bank,21900.0,1
445,Equity Bank,23456.756756756757,37
446,Essential FCU,120110.55,1
447,Everest FCU,4818.333333333333,3
448,Evergreen Bank Group,69630.0,1
449,Evolve Bank & Trust,53408.333333333336,24
450,Exchange Bank,11792.5,2
451,Exchange Bank and Trust Company,18000.0,1
452,"Extraco Banks, National Association",52115.80017699115,226
453,F & C Bank,3800.0,1
454,F & M Bank,20575.0,4
455,F&M Bank,13137.5,2
456,"FC Marketplace, LLC (dba Funding Circle)",38885.65069444446,288
457,FMS Bank,85589.534,5
458,FNB Community Bank,92700.0,1
459,FNB Washington,72400.0,1
460,FNBC Bank,34366.666666666664,3
461,FNBC Bank and Trust,41665.0,1
462,Falcon International Bank,36566.47629834249,362
463,Falcon National Bank,5700.0,1
464,Fannin Bank,27305.090909090908,22
465,"Farm Bureau Bank, FSB",19665.169898989898,99
466,"Farm Credit Services of Eastern Missouri, PCA",12794.37,2
467,"Farm Credit of South Florida, ACA",4583.325,1
468,Farmers & Merchants Bank of Long Beach,76089.33333333333,3
469,Farmers & Stockmens Bank,36234.28571428572,14
470,Farmers Bank,14880.0,3
471,Farmers Bank & Trust Company,50519.575090909086,110
472,Farmers Insurance Group FCU,20271.95731707317,164
473,Farmers Savings Bank,21897.0,1
474,Farmers State Bank,26557.350882352952,204
475,Farmers State Bank & Trust Co,39415.9,2
476,Farmers State Bank & Trust Co.,3240.0,1
477,"Farmers State Bank of Alto Pass, Illinois",46970.55368421053,19
478,Farmers State Bank of Calhan,56579.0,1
479,Farmers State Bank of NewCastle,35620.833333333336,24
480,Farmers and Merchants Bank of St. Clair,500.0,1
481,Farmers and Merchants State Bank,20833.32,1
482,Farmers and Merchants State Bank of Appleton,6121.0,2
483,"Fayette Savings Bank, ssb",31552.18155000003,200
484,Fayetteville Bank,23185.666666666668,39
485,Fidelity Bank,23169.428571428572,7
486,Fidelity Bank of Texas,23088.03823529413,51
487,Fidelity Deposit and Discount Bank,62200.0,1
488,Field & Main Bank,31275.0,4
489,Fifth Third Bank,38535.68421052631,95
490,FinWise Bank,52380.0,20
